,column_label,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal
,assortativity,trans_type,proportion_sim_temporal,proportion_sim_temporal,proportion_sim_temporal,proportion_sim_temporal,proportion_sim_temporal,proportion_sim_temporal,proportion_sim_temporal,proportion_sim_temporal,proportion_sim_temporal,proportion_sim_temporal,proportion_sim_temporal,proportion_sim_temporal,,,assortativity,trans_type,threshold_temporal,threshold_temporal,threshold_temporal,threshold_temporal,threshold_temporal,threshold_temporal,threshold_temporal,threshold_temporal,threshold_temporal,threshold_temporal,threshold_temporal,threshold_temporal,,,,,,,
,1,g1g1,0.390513078,0.390513078,0.390513078,0.390301785,0.390301785,0.390301785,0.390393251,0.390393251,0.390393251,0.390497712,0.390497712,0.390497712,,,1,g1g1,67.59319401,67.59319401,67.59319398,103.8452113,121.3829815,216.7777676,161.290083,172.8530752,264.7088919,257.7188972,318.2752966,514.4275485,,,,,,,
,1,mixed,0.468973894,0.468973894,0.468973894,0.46907861,0.46907861,0.46907861,0.469068457,0.469068457,0.469068457,0.468660805,0.468660805,0.468660805,,,1,mixed,67.6788939,67.6788939,135.3577878,104.1098911,159.9949377,262.2230153,161.2271439,192.5904521,306.5523499,256.9427211,340.5947853,549.1334162,,,,,,,
,1,g2g2,0.140513028,0.140513028,0.140513028,0.140619604,0.140619604,0.140619604,0.140538292,0.140538292,0.140538292,0.140841483,0.140841483,0.140841483,,,1,g2g2,67.66088977,135.3217795,202.9826693,104.0823189,208.1646379,312.2469568,160.9411459,218.7230192,350.2349046,258.1851749,364.9548462,586.8458231,,,,,,,
,2,g1g1,0.466614193,0.466614193,0.466614193,0.466566031,0.466566031,0.466566031,0.466945243,0.466945243,0.466945243,0.46655651,0.46655651,0.46655651,,,2,g1g1,67.66712991,67.66712991,67.66712991,88.31111256,93.92246195,158.3959301,161.4521523,166.6289455,218.1336612,234.5302102,262.5604874,387.8089801,,,,,,,
,2,mixed,0.316771763,0.316771763,0.316771763,0.316799225,0.316799225,0.316799225,0.316482065,0.316482065,0.316482065,0.316770651,0.316770651,0.316770651,,,2,mixed,67.76791212,67.76791212,135.5358242,110.8381507,174.9752301,283.7628388,161.718333,202.4103659,320.1638221,265.9522824,380.8377174,605.5176855,,,,,,,
,2,g2g2,0.216614043,0.216614043,0.216614043,0.216634743,0.216634743,0.216634743,0.216572693,0.216572693,0.216572693,0.216672839,0.216672839,0.216672839,,,2,g2g2,67.74691763,135.4938352,203.2407529,135.3146782,270.6293564,405.9440347,161.9645694,272.6972818,422.5071043,302.6548888,537.8495674,829.25501,,,,,,,
,3,g1g1,0.539887708,0.539887708,0.539887708,0.539792222,0.539792222,0.539792222,0.539724543,0.539724543,0.539724543,0.539562546,0.539562546,0.539562546,,,3,g1g1,67.69626974,67.69626975,67.69626974,77.11801094,78.5087802,104.9123742,161.7693302,163.8664086,186.1422418,219.7893278,230.3547109,288.5892507,,,,,,,
,3,mixed,0.170224734,0.170224734,0.170224734,0.170257828,0.170257828,0.170257828,0.170339763,0.170339763,0.170339763,0.170316709,0.170316709,0.170316709,,,3,mixed,67.54110265,67.54110264,135.0822053,114.3444699,183.2479071,295.5433482,161.6161209,207.5909117,326.5696841,270.1786008,402.3772676,635.4430039,,,,,,,
,3,g2g2,0.289887558,0.289887558,0.289887558,0.289949949,0.289949949,0.289949949,0.289935695,0.289935695,0.289935695,0.290120745,0.290120745,0.290120745,,,3,g2g2,67.67780731,135.3556146,203.0334219,150.580099,301.1601979,451.7402969,161.5645595,301.6214892,458.5292971,324.8248608,623.3842916,944.5923514,,,,,,,
